,fr,en
GRAVATS01,Les humains ont recouvert quasiment trois pour cent des sols de leur béton.,Humans had covered almost three per cent of the soils with this concrete of them.
GRAVATS02,C’était des espaces dont toute vie non-autorisée par les humains était exclue !,These were spaces from which all life not authorised by humans was banned!
GRAVATS03,"Nos ancêtres espéraient que les humains finiraient par trop utiliser leurs bombes, et qu’ils détruiraient tout eux-mêmes.",Our ancestors hoped that humans would eventually overuse their bombs and destroy everything themselves.
GRAVATS04,"Mais non, même pas, ils nous ont laissé tout le travail.","But no, not even that, they left us with all the work."
GRAVATS05,Nous avions eu un peu d’espoir quand nous avions remarqué que leur béton s’effondrait tout seul après 70 à 100 cycles solaires.,There was a glimmer of hope when we noticed that their concrete was crumbling on its own after 70 to 100 solar cycles.
GRAVATS06,"Mais, nos petites amies les bactéries et leurs compères lichens ne cessent de se plaindre de la difficulté de la tâche pour décomposer ces gravats.",But our little bacteria friends and their lichen buddies keep complaining about how difficult it is to break down the rubble.
GRAVATS07,"À l’heure actuelle, seuls dix pour cent des zones bétonnées sont en bonne voie de restauration.","To date, only 10 per cent of concrete-covered areas can be regarded as on the road to recovery."
GRAVATS08,"Répugnant, absolument répugnant ce qu’ils nous ont fait.","What they did to us is sickening, utterly sickening."
GRAVATS09,Pas de pitié !,No mercy!
GRAVATS10,"Patience, patience. Cloporte, veuillez conclure.","Easy, easy. Woodlouse, please conclude."
CONCLU_GEO00,"Ah oui, la conclusion.","Alright, the conclusion."
CONCLU_GEO01,Je pense qu’il est clair pour tout le monde que nous avons actuellement deux priorités.,I think it's clear to everyone that we currently have two priorities.
CONCLU_GEO02,"D’abord, nous débarrasser des Horreurs pour éviter toute nouvelle colonisation de leur part.","First, we must dispose of the Horrors to prevent them from colonising further."
CONCLU_GEO03,"Ensuite, nous devons finir de nettoyer notre planète et soigner les cicatrices que les humains lui ont infligées.","Next, we must finish cleaning up our planet and healing the wounds that humans have inflicted on it."
CONCLU_GEO04,Clap clap !,Clap clap !
CONCLU_GEO05,Débarrassons-nous de tous les humains !,Let's get rid of all humans!
CONCLU_GEO06,Priorité à la décomposition !,Decomposition first!
CONCLU_GEO07,"Merci pour cette présentation Cloporte. Et maintenant,","Thank you for that introduction, Woodlouse. And now,"
CONCLU_GEO08,La leçon d’histoire de Lombric.,Earthworm's history lesson.
CONCLU_GEO09,"On connaît tout ça, place aux actes !","We know all that, now it's time for action!"
ACTIONS00,Nous allons maintenant discuter des actions à planifier pour les dix prochains cycles solaires.,"After this review, we'll move on to planning actions for the next ten solar cycles."
ACTIONS01,"Je vous rappelle que, comme nos ressources sont limitées, nous allons devoir faire des choix.","I’d like to remind you that, since our resources are limited, we'll have to make choices."
ACTIONS02,"Au moment du vote, je vous demanderai de ne pas seulement laisser parler l’émotion, mais de faire preuve de discernement.","When casting your ballot, I’d ask you not to let emotion be your only guide, but to exercise discernment."
ACTIONS03,"Ainsi, nous allons…","So, we're going to..."
ACTIONS04,"Écouter Tique, spécialiste en maladies.","Listen to Tick, expert in diseases."
ACTIONS05,"Écouter Escargot, spécialiste en blocus.","Listen to Escargot, expert in blockades."
ACTIONS06,"Écouter Fourmi, spécialiste de l’élevage.","Listen to Ant, expert in breeding."
ACTIONS07,Voir le résultat des délibérations.,See the outcome of the hearings.
TIQUE00,Tique a un plan anti-humain à nous présenter.,Tick has an anti-human plan to present to us.
TIQUE01,Et c’est un sacré bon plan.,And it's one hell of a good plan.
TIQUE02,"Tout d’abord, je tiens à préciser que nous ne sommes pas seuls sur ce projet : c’est une collaboration avec les bactéries et les rats.","First of all, I'd like to point out that we're not alone in this project; it’s a collaboration with bacteria and rats."
TIQUE03,Les bactéries ont développé une nouvelle infection anti-humains.,Bacteria have developed a new anti-human infection.
TIQUE04,"Une infection test sur un groupe de Bêtes humaines isolées dans le grand ensemble rouge s’est montrée particulièrement efficace,","A test infection on a group of human Beasts isolated in the large red landmass was particularly effective,"
TIQUE05,et nous pensons que les autres humains n’en ont pas entendu parler.,and we believe that other humans have not heard about it.
TIQUE06,"Les rats nous transporteront jusqu’aux cibles. Mais, il va falloir faire un choix.","The rats will carry us to the targets. But, we'll have to make a choice."
TIQUE07,"Soit attaquer les tribus de Bêtes, soit affronter les Horreurs dans leurs blocs de bétons.",Either attack the Beast tribes or face the Horrors in their concrete blocks.
TIQUE08,"Attaquer directement les Horreurs mènera à d’immenses pertes, mais les rats sont prêts à ce sacrifice pour la cause.","Attacking the Horrors directly would result in huge losses, but the rats are willing to make that sacrifice for the cause."
TIQUE09,"Cependant, nous savons que, contrairement à la bonne époque, ils peuvent développer des remèdes plus vite que nous des maladies.","However, we know that, unlike in the good old days, they can develop cures faster than we can develop diseases."
TIQUE10,"Si un bloc d’Horreurs survit, les humains seront peut-être capables de repeupler les autres blocs.","If one block of Horrors survives, humans may be able to recolonise the other blocks."
TIQUE11,"À l’inverse, nous pensons pouvoir coordonner une attaque simultanée sur toutes les tribus de Bêtes.","On the contrary, we believe we can coordinate a simultaneous attack on all the Beast tribes."
TIQUE12,"Bien sûr, les Horreurs auront tout le temps de développer un remède.","Of course, the Horrors will have plenty of time to develop a cure."
TIQUE13,"Mais, nous avons remarqué que les Horreurs vont régulièrement capturer de jeunes femelles reproductrices chez les Bêtes.",But we've noticed that the Horrors regularly capture young breeding females from among the Beasts.
TIQUE14,Nous pouvons faire le pari que les rares femelles Horreurs ne sont plus capables de se reproduire.,We may assume that the few female Horrors are no longer fit to reproduce.
TIQUE15,"Et alors, sans femelle Bête, les Horreurs disparaîtront.","And so, without a female Beast, the Horrors will disappear."
TIQUE16,Frappons directement à la source du mal !,Let's strike directly at the source of evil!
TIQUE17,"Non, éliminons d’abord les faibles !","No, let's eliminate the weaker ones first!"
TIQUE18,À bas les Horreurs !,Down with the Horrors!
TIQUE19,"Patience, patience, nous avons encore d’autres actions à étudier avant de voter. Cependant, je dois dire que :","Be patient, be patient, we still have other actions to consider before voting. However, I should say that:"
TIQUE20,L’attaque directe des Horreurs me plaît.,I like the direct attack of the Horrors.
TIQUE21,Priver les Horreurs de femelle est une solution nouvelle et pleine de promesses.,Taking away the female from the Horrors is a new and promising solution.
ESCARGOT00,Escargot a un plan anti-humain à nous présenter.,Escargot has an anti-human plan to present to us.
ESCARGOT01,Et oui.,"Yes, indeed."
ESCARGOT02,…,…
ESCARGOT03,Notre proposition est simple.,Our approach is quite simple.
ESCARGOT04,…,…
ESCARGOT05,Elle est inspirée d’une tactique qu’employaient jadis nos camarades aquatiques pour lutter contre l’exploitation de la pierre luisante.,It is inspired by a tactic once used by our aquatic comrades to combat the exploitation of the shiny stone.
ESCARGOT06,…,…
ESCARGOT07,Nos camarades agglutinaient leurs coquilles sur les grilles d’évacuation. Les machines à énergie humaine surchauffaient et cassaient.,"They were clogging up the drainage grates with their shells, and the humans' energy-machines were overheating and breaking down."
ESCARGOT08,…,…
ESCARGOT09,"Nous proposons de nous jeter par milliards dans les trous d’air des blocs de béton des Horreurs. De les faire suffoquer, surchauffer. Et de les laisser souffrir.",We propose throwing ourselves by the billions into the air holes of the Horrors' concrete blocks. We’ll suffocate and overheat them. And let them suffer.
ESCARGOT10,…,…
ESCARGOT11,Ce sera une opération en mémoire de toutes nos frœurs qui sont mort·e·s sous les disques noirs des boîtes à bouger humaines.,This will be an operation in memory of all our brosis who died under the black discs of human moving boxes.
ESCARGOT12,…,…
ESCARGOT13,"Clap, clap !","Clap, clap !"
ESCARGOT14,Ha ha ha !,Ha ha ha!
ESCARGOT15,Ce plan à l’air de vous tenir à cœur. ,This plan seems to be very important to you.
ESCARGOT16,"Effectivement, votre sacrifice pourrait porter un coup fatal aux Horreurs.","Indeed, your sacrifice could deal a fatal blow to the Horrors."
ESCARGOT17,Êtes-vous sûrs d’arriver à boucher les trous sans être remarqués ? Vous pourriez continuer à travailler tranquillement à la restauration des sols.,Are you sure you can fill in the holes without being noticed? You could continue working steadily on restoring the soil.
FOURMI00,Fourmi a un plan de restauration des sols à nous présenter.,Ant has a soil restoration plan to present to us.
FOURMI01,En effet.,Correct.
FOURMI02,"Mais, il requiert votre coopération à tous, j’ai bien dit tous ! En effet, après des générations de croisements, nous avons enfin atteint notre objectif.","However, it requires the cooperation of everyone, and I mean everyone. Indeed, after generations of crossbreeding, we've finally achieved our goal."
FOURMI03,"En effet, nous avons créé une nouvelle variété, non, c’est carrément une nouvelle espèce,","Indeed, we've created a new variety. No, it’s quite simply a new species,"
FOURMI04,nous avons créé une nouvelle espèce de champignons capables de secréter une substance à double propriété : acide contre le béton et oxydante contre les tiges de métal.,we’ve created a new species of fungus capable of secreting a substance with dual properties: acidic against concrete and oxidising against metal rods.
FOURMI05,"Mais, il y a toujours un ‘mais’.",But there’s always a “but”.
